"Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link"
"com.datauniverse.antiscam,,,ko,cv5an,2019-12-03T05:31:55Z,1575351115661,2019-12-03T05:31:55Z,1575351115661,5,,,,,,"
"com.datauniverse.antiscam,,,ko,gto,2019-12-07T13:45:10Z,1575726310774,2019-12-07T13:45:10Z,1575726310774,1,,여기가 낚시꾼인가 싶네 그려 어느 집안사람인가. . 당신부터 신분 밝히고 경찰서 자수해야겄다. 사치한 늼들아~,,,,https://play.google.com/apps/publish?account=8103543384118149959#ReviewDetailsPlace:p=com.datauniverse.antiscam&reviewid=gp:AOqpTOEjRMB8Q_7o9AEHLnqM_GCHMSPL8HQJqGORrFFZUYa9hCfC6fc5yNp2g5ZJi4JKQPRFunjaQBSx7x7zO84"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,d2x,2019-12-09T10:34:18Z,1575887658730,2019-12-09T10:34:18Z,1575887658730,4,,,,,,"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,greatlteks,2019-12-11T10:55:12Z,1576061712918,2019-12-11T10:55:12Z,1576061712918,3,,함지켜보고질쓰면유용한앱,,,,https://play.google.com/apps/publish?account=8103543384118149959#ReviewDetailsPlace:p=com.datauniverse.antiscam&reviewid=gp:AOqpTOFv-bJqgyAmPfw9H8GWDTaatldpV75a0Elb5IySvIEWXHe-9Pq5OL7Vbd4nXDNODCyqnIRklo6Njm_Nq7M"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,pplus,2019-12-15T14:25:59Z,1576419959293,2019-12-15T14:25:59Z,1576419959293,5,,,,,,"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,d1x,2019-12-17T13:54:31Z,1576590871965,2019-12-17T13:54:31Z,1576590871965,5,,,,,,"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,beyondx,2019-12-17T15:18:57Z,1576595937296,2019-12-17T15:18:57Z,1576595937296,5,,원조경,,,,https://play.google.com/apps/publish?account=8103543384118149959#ReviewDetailsPlace:p=com.datauniverse.antiscam&reviewid=gp:AOqpTOG9UE7jbPPUqjYntcngjDyzZxXlOBQE01czUXO_d6EJn6nGOwQ6ThHzJ5vhRJNyOhxIZsKWBy224WGUVO4"
"com.datauniverse.antiscam,,,ko,judypn,2019-12-19T14:21:24Z,1576765284615,2019-12-19T14:21:24Z,1576765284615,5,,,,,,"
"com.datauniverse.antiscam,,,ko,mhn,2019-12-20T01:02:07Z,1576803727527,2019-12-20T01:02:07Z,1576803727527,5,,,,,,"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,jackpotlteks,2019-12-20T12:43:22Z,1576845802438,2019-12-20T12:43:22Z,1576845802438,5,,,,,,"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,jackpotlteks,2019-12-27T06:11:38Z,1577427098423,2019-12-27T06:11:38Z,1577427098423,1,,이거 신고못하나요? 교묘하게 유료결제되버리네.개늠식히들,,,,https://play.google.com/apps/publish?account=8103543384118149959#ReviewDetailsPlace:p=com.datauniverse.antiscam&reviewid=gp:AOqpTOHWBz_7xVw-9bl67JMf9w9iIsHFViLGUUGrZoQO1q6Oh2FBBLJVnxVn19AnTGBZBXgIb5kOwmyy6YUyUCI"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,star2lteks,2019-12-28T09:24:38Z,1577525078364,2019-12-28T09:24:38Z,1577525078364,5,,보이피싱에 일단 안심이됩니다,,,,https://play.google.com/apps/publish?account=8103543384118149959#ReviewDetailsPlace:p=com.datauniverse.antiscam&reviewid=gp:AOqpTOGtzR5puH4Ky75jq3bJk0cuk1hGat349NeggaLl64HSoB6bp9YuP5eqd_xwDbPO9uFJlRSaONuFc0SGaN4"
"com.datauniverse.antiscam,2111401,02.11.14.01,ko,nobleltektt,2019-12-29T12:52:38Z,1577623958783,2019-12-29T12:52:38Z,1577623958783,4,,공유,,,,https://play.google.com/apps/publish?account=8103543384118149959#ReviewDetailsPlace:p=com.datauniverse.antiscam&reviewid=gp:AOqpTOHbGxMkcxr5QJxF-e1KVqWCnqMWqaPqbRPCGmG8ySyC1DVR7hZIZcFhEu7T9JNqayvpDHiHAkkKg8jtkgw"
"com.datauniverse.antiscam,,,ko,crownlteks,2019-12-30T02:36:58Z,1577673418624,2019-12-30T02:36:58Z,1577673418624,4,,,,,,"
"com.datauniverse.antiscam,,,ko,cv5an,2019-12-31T11:38:22Z,1577792302004,2019-12-31T11:38:22Z,1577792302004,4,,,,,,"
"com.datauniverse.antiscam,,,ko,greatlteks,2019-12-31T12:05:30Z,1577793930454,2019-12-31T12:05:30Z,1577793930454,1,,진짜 어이없네요 다른 어플 이용하기전에 보안상 인증이 필요한줄알고 번호인증했는데 유료서비스에 바로 가입시켜버리네요 31일 밤이라서 서비스센터에 전화도 못하고 식겁했네요,,,,https://play.google.com/apps/publish?account=8103543384118149959#ReviewDetailsPlace:p=com.datauniverse.antiscam&reviewid=gp:AOqpTOEKERMczEC0dvaADPRt48F83YS797ixnzd709IaLCSqQB4YMUo52HoToEKdP-dGh_ElNStT4zIGUpbGJ6A"
